,SurfArea,Capacity,CatchArea,DamHt,DamLen,Depth,AvgRelease,DOR,Elev
1606,1.7139780917080243,4.115779842942166,5.214935757608986,2.995732273553991,7.028201432058005,2.3978952727983707,7.792348924113037,4.385769620952716,5.645446897643238
1615,1.1768071362531665,5.076423034634259,6.184148890937483,3.4011973816621555,6.293419278846481,3.899950424193877,9.078864009187797,4.05871738457895,4.430816798843313
1617,2.1110613254352915,4.330733340286331,5.236441962829949,2.772588722239781,6.156978985585555,2.2192034840549946,7.797291273547472,4.59511985013459,5.60947179518496
1619,1.807796846925679,4.198704577546343,5.19295685089021,2.995732273553991,5.66988092298052,2.388762789235098,7.726212650507529,4.534747721691546,5.60947179518496
1620,2.1361762546601404,4.410371107683024,5.755742213586912,2.833213344056216,6.278521424165844,2.272125885509337,8.27308133366583,4.198704577546343,5.627621113690637
163,-1.5558971455060706,3.2268439945173775,4.574710978503383,3.5263605246161616,6.703188113240863,4.782479200958502,7.372118028337787,3.9160150266976834,7.475339236566737
1631,1.5991855359697489,5.823045895483019,7.560601162768557,3.58351893845611,6.056784013228625,4.223909766576744,10.047631185616188,3.8372994592322094,5.429345628954441
1634,2.0438143640366846,4.364371699435161,5.488937726156687,3.4011973816621555,7.609862200913554,2.322387720290225,8.031710375322042,4.394449154672439,5.723585101952381
1636,2.62358104447576,4.693181063310805,5.749392985908253,2.6390573296152584,6.573680166960646,2.066862759472976,8.200562797008564,4.554928969551344,5.5254529391317835
1645,1.7282870462724815,5.098646171418969,6.3578422665081,3.58351893845611,6.340359303727752,3.370738174177447,8.899048433885268,4.2612704335380815,5.272999558563747
1650,0.8658391883780567,3.502549875922443,4.465908118654584,3.258096538021482,5.662960480135946,2.6390573296152584,6.816735880594968,4.747537427275013,5.4116460518550396
1654,1.7136177313437642,5.639777144680289,6.669498089857879,3.828641396489095,5.66988092298052,3.9259259105971376,9.226508953137767,4.475061500641071,5.267858159063328
1655,2.3464105725340754,5.699439725222064,6.437751649736401,4.007333185232471,6.694562058521095,3.353406717825807,9.024131268455035,4.73707525686803,5.556828061699537
1656,2.9889090482058656,6.094923255476212,6.887552571664617,4.007333185232471,6.748759547491679,3.104586678466073,9.492959650085501,4.663439094112067,5.424950017481403
168,1.0206507471983979,4.457829598089382,7.962067308753666,4.442651256490317,5.8522024797744745,3.4372078191851885,11.108799459863294,1.410986973710262,5.14166355650266
1683,2.057323736426217,5.896054362303324,6.7580945044277305,4.127134385045092,6.091309882077698,3.8394523125933104,9.374837343857585,4.582924577040772,5.43372200355424
169,1.910282971412162,5.256453162449338,5.641907070938114,4.007333185232471,6.97914527506881,3.3463891451671604,8.786914938491025,4.531523645819793,5.43372200355424
1691,1.007227726866257,4.398146016553765,6.042632833682381,3.295836866004329,6.056784013228625,3.391147045808654,9.174298600628918,3.2846635654062037,5.484796933490655
1699,1.5166645122817455,5.790571604728592,7.239214973779806,4.1588830833596715,5.883322388488279,4.273884476054178,10.451464441932911,3.4011973816621555,5.634789603169249
1703,3.4958709952648364,5.919162635352577,6.073044534100405,3.784189633918261,6.124683390894205,2.424802725718295,8.536014945656826,5.4450117456988405,5.10594547390058
1706,1.044156102872051,3.835141961092188,5.3230099791384085,3.258096538021482,5.796057750765372,2.791165107812717,7.69484807238461,4.2017030805426,5.198497031265826
1707,1.06333047452347,4.9890711161804155,6.234410725718371,3.6109179126442243,6.09807428216624,3.9259259105971376,8.644882552557126,4.405498990859024,5.303304908059076
1709,1.5725664376581956,6.23421462806111,7.630946580890459,4.77912349311153,6.543911845564792,4.661550519424199,10.600253178618784,3.696351468952637,6.180016653652572
1712,1.1881482539789647,4.623010104116422,5.823045895483019,3.5263605246161616,5.293304824724492,3.4339872044851463,8.23880116587155,4.446174454497633,5.3471075307174685
1713,1.9439081463846402,4.631812116934513,6.26530121273771,3.871201010907891,5.564520407322694,2.6878474937846906,8.636752426473876,4.056988775678332,5.272999558563747
