ReservoirID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1086,49.554,32.281,35.679,32.847,32.847,25.117,29.449,29.449,37.095,29.733,33.131,54.085,31.432,29.166,45.307,31.148,33.98,59.465,35.679,40.21
1092,138.75232,124.027584,154.892896,200.766112,147.8986464,250.9434816,172.1944608,155.317648,146.397856,150.928544,381.002544,164.0392224,162.2835808,152.2311168,140.5645952,164.1808064,84.1575296,167.5505056,163.104768,114.0317536
1093,121.479,192.271,192.752,187.344,184.088,205.438,186.891,143.481,193.234,185.645,654.401,189.015,187.231,181.511,187.91,185.135,165.087,200.483,190.912,174.375
1095,0.193,24.862,145.265,0.249,131.39,15.263,165.936,35.113,0.286,0.073,32.281,0.063,0.089,0.34,0.053,0.062,0.121,0.216,45.024,14.583
1101,169.901,127.426,141.584,186.891,151.495,171.317,84.95,144.416,141.584,152.911,141.584,382.277,188.307,141.584,167.069,118.931,135.921,148.663,144.416,145.548
1109,43.037,43.532,45.764,44.499,36.343,31.763,37.213,43.042,38.794,39.36,39.644,43.325,45.307,41.909,43.891,40.493,45.59,43.891,44.457,44.741
1112,118.647,186.325,184.059,351.128,186.325,315.449,189.723,105.338,184.909,177.263,176.131,178.962,176.414,232.481,178.679,175.847,165.936,314.316,102.79,174.998
1120,0.283,57.766,33.98,56.435,56.35,27.949,76.965,55.161,57.002,73.51,57.511,61.985,54.538,56.492,54.397,37.831,52.216,49.781,45.392,0.623
1121,93.077,157.441,114.428,226.648,137.223,185.192,157.838,102.337,158.914,156.62,169.731,156.394,155.374,130.937,159.084,155.516,125.047,156.479,164.691,152.061
1122,73.340512,82.11872,77.588032,83.676144,79.2020896,80.6179296,78.2676352,80.844464,78.154368,78.720704,82.7700064,82.2036704,81.269216,79.145456,81.4108,79.711792,59.46528,82.401888,78.720704,73.5104128
1124,24.777,27.241,27.779,26.108,25.202,26.816,25.4,25.57,25.853,23.729,24.919,25.485,27.326,24.239,22.88,23.673,26.873,23.163,23.588,25.344
1125,93.077,157.441,114.428,226.648,137.223,185.192,157.838,102.337,158.914,156.62,169.731,156.394,155.374,130.937,159.084,155.516,125.047,156.479,164.691,152.061
1127,40.635,55.161,56.634,55.076,52.16,55.274,55.501,49.838,55.218,52.613,54.227,109.19,107.972,83.336,95.017,102.224,44.953,108.85,85.743,66.799
1128,384.231,283.168,532.158,540.086,430.245,280.478,551.979,561.097,252.897,404.534,425.8,321.707,384.769,469.974,467.454,501.774,538.104,491.07,497.13,329.664
113,1.207,0.566,0.791,1.225,1.512,2.7,1.657,2.756,2.118,0.585,2.303,2.929,1.65,1.142,0.786,0.586,3.665,1.112,0.58,0.959
1134,2.69,22.597,30.299,25.882,25.174,24.296,24.551,24.126,24.551,26.561,26.901,80.08,25.853,24.437,24.069,25.513,7.419,26.646,26.051,5.72
114,2.852,27.662,5.499,7.499,18.443,32.256,17.715,18.573,14.611,2.341,2.549,4.712,8.846,2.965,16.714,5.258,9.758,10.535,2.161,10.176
1144,869.892,1640.421,831.891,702.823,770.5,1301.299,697.216,541.7,850.325,808.728,554.16,689.401,967.755,1105.12,438.995,613.229,706.561,707.184,1056.047,1050.213
1151,0.057,0.057,198.218,17.868,82.6,108.538,110.917,75.889,0.85,108.198,62.439,1.756,29.733,54.736,72.264,27.382,63.515,90.416,42.843,136.374
1170,113.267,56.634,56.634,56.634,56.634,14.158,382.277,1237.444,65.185,84.95,70.792,70.792,92.03,87.556,168.117,147.304,11.044,196.462,181.822,22.059
1192,225.402,294.495,99.109,223.703,113.267,186.891,305.821,198.218,517.065,436.079,329.608,424.752,240.693,240.693,257.683,283.168,67.394,358.208,264.479,257.683
1197,0.142,0.142,0.142,47.799,72.208,29.733,73.652,23.729,29.449,53.972,3.03,55.218,41.739,47.147,35.538,42.05,35.396,23.871,105.084,35.821
1207,1415.84,719.25,604.09,2169.66,617.29,698.27,456.18,938.35,579.93,777.11,1129.27,1403.73,395.87,651.1,995.46,1212.62,1000.72,837.14,911.89,918.98
1237,53.207,53.321,35.396,24.636,21.209,60.881,38.851,35.424,19.595,43.268,60.966,36.642,54.057,48.139,33.98,57.087,53.66,57.908,53.604,42.843
1249,13.45,0.566,13.535,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.906,0.028,0.736,0.028,0.028,0.028,0.028,0.028,0.028,0.028
131,157.725,105.537,162.68,269.689,240.438,111.681,165.257,110.266,113.267,111.851,113.154,109.105,169.901,99.449,150.56,190.261,204.674,183.889,246.866,134.193
132,396.095,438.995,364.182,303.698,247.432,461.564,1422.551,374.263,1918.775,1473.068,2098.105,1497.024,855.592,1414.396,427.216,383.466,830.532,1395.735,1084.279,1383.955
133,120.12,33.81,234.067,118.024,230.357,317.573,124.622,130.172,109.671,118.393,127.397,128.162,103.866,154.298,74.7,69.093,84.441,89.396,62.948,62.722
144,27.269,426.338,238.994,420.136,426.366,154.157,137.053,266.659,231.943,189.241,403.599,350.845,424.327,21.408,165.823,16.764,155.034,233.302,17.217,163.869
