ReservoirID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1032,577.663,481.386,614.475,1312.484,945.781,2203.047,1948.196,2460.73,1302.573,1472.474,1302.573,263.346,906.138,1936.869,2035.978,1881.651,536.603,940.118,920.296,1860.414
1033,136.9966784,308.4549024,1362.03808,1574.41408,436.07872,1554.139251,2392.089997,948.471216,1103.505696,783.5824896,2469.168326,612.4640672,454.3996896,696.3667456,703.3326784,911.4894752,858.1972576,1618.333437,1298.806666,570.2720352
1036,424.4121984,227.525488,2114.783574,4461.31184,1172.31552,3881.468726,2218.168211,781.9401152,1816.551037,1327.236733,2924.219302,897.925728,1061.483565,3326.091328,2355.589642,1567.504781,1475.333597,1482.809232,1207.683203,1176.874525
1042,243.4112128,200.2564096,743.2027328,2950.497293,591.82112,2290.999021,2744.011187,385.2783808,886.3441568,713.4984096,1311.15279,586.1860768,809.5206784,1968.159184,1956.69088,1028.296275,719.4732544,651.7394688,629.6806816,735.812048
1048,1803.78,365.287,2729.74,1455.484,1999.166,2721.244,3349.877,8495.04,7787.12,1747.147,3604.729,450.237,1563.087,6804.527,2256.849,4525.025,1274.822,2865.66,3694.634,5367.449
1053,552.178,594.653,957.108,2265.344,1554.592,3970.015,3174.313,5501.954,1877.404,3482.966,2585.324,699.425,1441.325,3814.273,3440.491,4525.025,1211.959,1396.018,1414.141,2831.68
1067,273.4836544,259.3535712,1666.44368,8751.731792,860.83072,1092.745312,1244.636627,1069.383952,1052.535456,2176.599149,1699.291168,1525.227798,1013.373322,1923.956659,631.0965216,1095.293824,370.4403776,2028.757136,1468.990634,1089.998582
1070,194.848,28.147,44.033,102.252,229.309,288.18,102.733,38.284,624.669,27.807,36.953,116.863,8.637,99.222,44.287,119.299,45.222,34.093,46.44,56.577
1078,5148.136,12224.731,3191.502,4484.503,7759.624,4889.745,7612.689,3743.368,5673.554,6671.155,5138.367,5582.94,6721.021,6320.876,3054.731,7082.881,5426.377,2828.678,6763.185,8527.887
1084,198.4724512,191.1667168,404.3355872,1052.308922,215.20768,614.899312,670.9382592,326.8041888,591.6229024,650.2669952,1359.801053,317.5162784,383.2395712,467.085616,364.6071168,477.0248128,423.2228928,742.324912,826.3408576,230.6686528
1086,14.187,84.95,44.457,29.166,52.952,34.83,69.942,38.228,51.82,53.236,59.465,90.897,20.048,57.766,53.236,88.348,122.045,54.085,21.266,58.616
1092,273.3703872,460.148,512.7889312,1923.41864,518.19744,1059.727923,881.6152512,715.3106848,858.3954752,726.9772064,1215.102205,828.3796672,486.482624,770.2452768,954.8991296,578.5688576,139.9133088,1000.602445,575.8504448,531.5346528
1093,267.594,945.781,1081.702,906.138,829.682,1098.692,1353.543,512.534,1152.494,914.633,2613.641,651.286,991.088,1124.177,838.177,1005.246,794.286,1260.098,1517.497,708.911
1095,58.759,75.81,153.906,240.687,496.249,138.004,118.183,1.606,99.759,18.517,180.078,63.508,243.635,199.867,17.657,16.304,9.894,7.795,379.703,226.187
1101,1741.398,499.707,600.429,1498.837,1312.116,553.933,641.659,953.342,568.771,1183.019,1592.933,1798.173,1329.955,477.053,739.323,583.666,343.964,1196.866,529.014,687.164
1109,44.233,93.078,1725.595,56.741,50.496,81.063,33.196,6.304,9430.47,38.143,54.901,85.384,152.837,38.444,31.586,238.39,183.773,65.414,43.417,50.051
1112,448.312,708.911,766.819,4045.933,621.894,1952.613,1372.26,1144.055,2018.45,1220.964,1435.152,1540.519,1610.603,1525.454,2156.636,1365.719,658.989,2106.232,969.822,873.318
1120,54.935,192.554,147.247,1064.712,393.604,158.574,1523.444,232.198,280.336,533.772,134.505,376.613,362.455,247.772,293.079,62.297,141.584,331.307,56.634,31.148
1121,258.221,537.453,456.014,2007.746,463.036,642.82,599.778,391.536,939.75,666.804,1015.61,550.224,524.257,543.909,1325.396,479.46,369.591,582.788,344.049,368.458
1122,180.378016,186.18296,203.0880896,1234.074461,215.20768,613.5401056,362.3984064,469.6907616,456.0137472,403.9674688,417.4745824,357.8110848,410.9334016,574.264704,666.1244032,336.8849696,142.5467712,356.650096,240.6928,320.9426112
1124,156.932,191.308,121.847,127.454,171.685,400.145,113.437,42.362,122.442,58.503,79.145,101.827,191.053,176.47,45.364,84.696,167.664,136.374,145.803,284.301
1125,258.221,537.453,456.014,2007.746,463.036,642.82,599.778,391.536,939.75,666.804,1015.61,550.224,524.257,543.909,1325.396,479.46,369.591,582.788,344.049,368.458
1127,234.746,162.17,366.249,489.881,124.311,301.885,187.967,206.571,250.49,171.203,252.699,471.234,336.234,417.644,528.66,330.797,74.02,557.558,353.96,338.556
1128,991.088,792.87,1429.998,1415.84,1129.84,370.95,1352.127,1919.879,300.158,374.49,818.356,484.217,1608.394,1529.107,911.801,679.603,807.029,1424.335,1231.781,699.425
113,1.126,3.25,1.834,2.771,2.637,2.658,2.854,2.694,2.112,2.407,2.821,3.203,3.095,2.256,5.536,4.128,4.088,3.943,5.042,1.331
1134,56.634,147.247,373.782,311.485,238.711,135.921,172.732,121.762,101.94,239.277,438.91,127.426,232.198,116.099,184.059,171.317,186.891,283.168,138.752,67.96
